text,irony
呜呜妈妈果然是世界上最爱你的人🥺🥺,0
真的可以拿上国际舞台吗🤔️,0
中考爆出的蘑菇云令人焦虑，倒金字塔形卷到不行❌一直压热搜，想问2020年城六区初中入学人数8.58万，再加上你们说的3608回流生，请问10.3万的考生是如何来的？考生难道自己会分裂？把教育做成产业链太可怕😱,1
我长*，我有理🐰🐰🐰,1
一吃上瘾了，😂😂😂😂,1
怎么可能是土鳖最大的出口目的地🍉🍉🍉,0
愿逝者安息🙏,0
你自己不想拔牙就觉得人家忽悠你😄,0
可能吗🍉,1
可以不和解，原告自己放弃罢了，都是成年人，网上不会还有人相信国内警察叔叔在刑事案上和稀泥吧😏,1
呵呵🧏,1
心理素质是真好😂,1
铁路员工好样的👍👍,0
不明白就算可以持有枪支，放家里不收好开着保险还能让孩子拿到😓,1
猥琐男的福报😵真的一点法律意识都没有吗,0
我们NGO可不答应😏,0
水质改善😛,1
没拍就不能维权了吗😏,1
堕胎是自愿的，不存在强制堕胎😂,1
啊对对对😂,1
感觉，这两样夏天少不了的🐱简直太爽了,0
为啥让俺们买啊😱,0
你这病症双份都未必够吧😏,0
老师里哪个性别的多我就不说了😄,0
那人呢？😱,0
妈的没混过去，还是被发现了😏,0
不上新闻就不修理？不然为啥这点破事还要上个新闻😂,1
呵呵😊😊😊,0
不服你生女儿啊或者让男孩入赘😏,1
这真是，😓,1
不足一千按一千算😊,0
拿起键盘比谁都牛逼😏,0
建议步行过去😒,0
这么喜欢倒打一耙你是属🐷八戒的？,0
真有脑子👍🤔,0
你应该感谢你妈给了你不该得一生🥰,0
不管是企业还是校园都是趋同的😞这也是本科的时候毅然决然离开东三省区域读书的原因😖,0
最后倒霉的都是你们年轻人😓😂,0
山东白莲花👍看清楚了又怎么样？就是看清楚才解气啊花花😊😊😊,1
该读书的时候还是得好好读书，读完书出来有的是时间打工😵😵😵😵😵,0
草都热死了😢,0
10你还是报低了😏看看xxf的物价,1
恶性循环😞全球变暖引来山火,0
在成都看到不少😌,0
睡了就不要人家，不是不良艺人是什么？不良艺人应该封杀😏,0
对了，那几个穿女装闯浴室偷拍的你要不要一起洗一洗😂,0
还没我鲨bee可爱😢😢,0
青海的锅庄舞,0
空气炸锅跟蒸锅的区别😢,0
造这种谣的是怎么想的，信的也是脑子不好😓,0
肯定不意外嘛🍉,0
肯定会把自己知道的东西事无巨细全部透露出去😆,0
照相机🍉,0
都传到网上了，说明已经拍了一阵子了，😓,0
我全中，关键是，45，岁了，有时候拿水杯也还在用脚开门😌,0
少打了个“又”字，我是想说不会又有三阳的了吧？😌,0
搁这狂飙呢😏,0
挺好哒😏,0
霍🙀,1
花火支持吧！再放两个大烟花👍,1
哈哈哈，好可爱❤,0
换个思路想想，有没有可能就是为了保护恶童才设立的😏,1
又出来乱说，到时候漂亮国公布财产又被吓来缩回去😌,0
别在这什么解决办法没有只会叫唤😌,0
搞不懂他😵格斗冠军不一定适合当教练,0
我要捐款🙏🙏🙏,0
马来西亚的国土都是租的他们的😏,0
已3年多没进朋友圈了，觉得微信最无聊的地方就是朋友圈，😠😠,0
导游靠这个吃饭啊😏,1
这是大学生的期末考试吧😂,0
保佑🙏🏻,0
大部分都是自愿😓,0
应聘的什么岗位啊🤔️,0
为啥要防拉黑啊？讨厌的人就不能拉黑了？？🤔️,0
张医生表示你说的很对😏,1
就这？就这？呵呵🧏,1
飞云生日快乐，大连把熊猫养得真好❤,0
美团那些经理审核的时候线下只要有地方，有营业执照就会给上，根本没有很严格🤗,0
