text,irony
古相思曲！！,0
祝贺,0
加油加油,0
！🤮,1
"""作家""葉三還不去游泳？🤔",1
(⊙o⊙)哇，我还是966😓😓😓,1
？？？故意伤害罪？？您知道故意伤害罪的构成要件吗，还说我无知😂😂😂,1
？？？说出你的故事😱😱,0
关你屁事😊sb,1
国外吸毒嫖娼合法你也吸呗😛,1
不知道对方收了钱会不会放人？”事到如今，钱都比孩子的命重要，真是有其母必有其女，到底谁没有人性这话说出来其实是没有人性的表现，你们的逻辑好像每个人都要火眼金睛明察秋毫，15岁还只是个孩子，你良心不痛吗？，15岁不读书想挣钱，你不上当谁上当🤭,1
继续优化营商环境”😋,1
就他那样谁拍啊🤭倒贴给我都不要🤭拍是给他面子🤭”,1
男、女”这两个字有这么不堪吗，不配出现在厕所门上🤔️,1
一切合理了起来😛,1
我一般在凌晨时段充电，一个月前还是0.4元/度，现在涨到了0.6元/度，”涨2毛钱就开始叫唤太贵是什么毛病？🍉,1
“因为我见过太阳，所以我想成为其中的一束光”👍👍👍,1
那个县又出名了！😂😂😂,1
《未成年人保护法》保护的应该是受害者，而不是未成年犯😊,1
《我都解释了，你还要怎样》😏😏😏😏😏😏,1
《只是》《一次》你没事吧😍,1
❤❤❤乘务组辛苦啦,0
❤晚安🌙,0
10你还是报低了😏看看xxf的物价,1
10岁，人才阿，😂😂😂回家必须好好教育,1
11个孩子就这样没了😢为什么要在屋顶上放珍珠岩,0
15个，11个，😢😢,0
15年不是破了嚒🤨5000点直泄到2000点,0
18年山竹，深圳挂双红都还得上班😌那会还没居家办公的概念😛,0
2.5个小时没停过这种鬼话骗骗傻子就够了🤔🤔,1
2.79m/s已经很良心了，百度你不买他vip给你2.79k他都做得出来🤔,1
200罚款就是对法律的亵渎🤗，一次罚5000你看他还敢不敢,1
20块钱买一盒天润可以吃到吐🍉,0
20万，😱，差不多得了,1
23年了还会有这种事😱,1
2500W收益6000😂理财劝退案例+1,1
2岁男童射杀怀孕妈妈的新闻才不久吧，袁腾飞：人人持枪，他才不乱🤗,1
3%😊大哥,1
30年前严打，确实出来了，应该30岁了😏,0
35岁是原罪😞,0
3年？🙀,1
4000亿欢乐豆吧😏,1
43/12=3.583333333一个月也三万多呢😌,0
4场周杰伦的演唱会，我愣是看不到买票的界面，都是哄抢没了👍,1
50%公摊，不要买房，谨防诈骗！😏,0
666，当代活佛👍,1
67岁了啊😢,0
6😂,1
